"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","257425","238","85808"
"создание и поддержка интеллектуальных медиасистем","4307456","154","2153728"
"телефония","5311299","270","2655649"
"создание виртуального офиса","3199813","197","1599906"
"организация резервного копирования","867672","320","433836"
"администрирование сетей и серверов","4765604","288","1588534"
"техническая поддержка рабочих станций и ИТ сервисов","9655823","174","4827911"
"веб-разработка","2078494","332","692831"
"создание мобильных систем","974193","99","324731"
"создание и обслуживание систем контроля доступа к портам и устройствам","3169553","176","1584776"
"организацию антивирусной защиты","6115468","26","3057734"
"решения касающиеся сетевой безопасности и отражения угроз","2214696","210","1107348"
"организация систем видеонаблюдения","8589484","22","2863161"
"построение и обслуживание структурированных кабельных систем (СКС)","2749099","188","1374549"
"создание и поддержка интеллектуальных медиасистем","6386636","69","3193318"
"телефония","1890440","104","630146"
"создание виртуального офиса","1925683","232","641894"
"организация резервного копирования","7714234","88","2571411"
"администрирование сетей и серверов","7552657","317","3776328"
"техническая поддержка рабочих станций и ИТ сервисов","3143847","293","1047949"
"веб-разработка","7542311","355","2514103"
"создание мобильных систем","6315741","104","3157870"
"создание и обслуживание систем контроля доступа к портам и устройствам","4980480","120","1660160"
"организацию антивирусной защиты","3544667","208","1772333"
"решения касающиеся сетевой безопасности и отражения угроз","1076153","51","538076"
"организация систем видеонаблюдения","837304","141","279101"
"построение и обслуживание структурированных кабельных систем (СКС)","133892","244","44630"
"создание и поддержка интеллектуальных медиасистем","9599908","73","3199969"
"телефония","9748674","350","3249558"
"создание виртуального офиса","1110345","34","370115"
"организация резервного копирования","6874332","347","3437166"
"администрирование сетей и серверов","7466642","90","2488880"
"техническая поддержка рабочих станций и ИТ сервисов","7852576","42","2617525"
"веб-разработка","2319321","258","773107"
"создание мобильных систем","8063970","304","2687990"
"создание и обслуживание систем контроля доступа к портам и устройствам","9178307","228","4589153"
"организацию антивирусной защиты","6811629","343","2270543"
"решения касающиеся сетевой безопасности и отражения угроз","6040174","286","2013391"
"организация систем видеонаблюдения","2354745","23","1177372"
"построение и обслуживание структурированных кабельных систем (СКС)","8271530","256","4135765"
"создание и поддержка интеллектуальных медиасистем","7717533","189","2572511"
"телефония","2947132","46","982377"
"создание виртуального офиса","1898034","336","632678"
"организация резервного копирования","7581035","145","3790517"
"администрирование сетей и серверов","7002772","287","2334257"
"техническая поддержка рабочих станций и ИТ сервисов","4447579","307","2223789"
"веб-разработка","5980539","307","2990269"
"создание мобильных систем","9640291","281","4820145"
"создание и обслуживание систем контроля доступа к портам и устройствам","6860129","302","2286709"
"организацию антивирусной защиты","6490196","108","2163398"
"решения касающиеся сетевой безопасности и отражения угроз","2249285","286","749761"
"организация систем видеонаблюдения","8693509","244","2897836"
"построение и обслуживание структурированных кабельных систем (СКС)","4576411","215","2288205"
"создание и поддержка интеллектуальных медиасистем","3541270","248","1770635"
"телефония","4523888","23","1507962"
"создание виртуального офиса","7978175","58","3989087"
"организация резервного копирования","9190999","275","4595499"
"администрирование сетей и серверов","4177285","172","1392428"
"техническая поддержка рабочих станций и ИТ сервисов","1400821","210","700410"
"веб-разработка","1990075","152","663358"
"создание мобильных систем","6718755","101","3359377"
"создание и обслуживание систем контроля доступа к портам и устройствам","445394","68","148464"
"организацию антивирусной защиты","6926448","27","2308816"
"решения касающиеся сетевой безопасности и отражения угроз","8687361","52","2895787"
"организация систем видеонаблюдения","299490","305","99830"
"построение и обслуживание структурированных кабельных систем (СКС)","7643717","122","3821858"
"создание и поддержка интеллектуальных медиасистем","5446984","122","2723492"
"телефония","1738618","311","869309"
"создание виртуального офиса","1943205","293","647735"
"организация резервного копирования","5069654","24","1689884"
"администрирование сетей и серверов","6417820","322","3208910"
"техническая поддержка рабочих станций и ИТ сервисов","8340655","174","2780218"
"веб-разработка","9462850","224","3154283"
"создание мобильных систем","8869980","261","2956660"
"создание и обслуживание систем контроля доступа к портам и устройствам","5454219","325","1818073"
"организацию антивирусной защиты","4340304","284","1446768"
"решения касающиеся сетевой безопасности и отражения угроз","3121523","244","1040507"
"организация систем видеонаблюдения","2389853","103","796617"
"построение и обслуживание структурированных кабельных систем (СКС)","1359872","108","679936"
"создание и поддержка интеллектуальных медиасистем","6437200","115","3218600"
"телефония","7374221","41","3687110"
"создание виртуального офиса","3393764","142","1696882"
"организация резервного копирования","8038105","221","2679368"
"администрирование сетей и серверов","3760366","156","1253455"
"техническая поддержка рабочих станций и ИТ сервисов","9718331","340","3239443"
"веб-разработка","3142192","338","1047397"
"создание мобильных систем","1436402","248","718201"
"создание и обслуживание систем контроля доступа к портам и устройствам","4021423","64","2010711"
"организацию антивирусной защиты","9458423","111","4729211"
"решения касающиеся сетевой безопасности и отражения угроз","3492393","29","1164131"
"организация систем видеонаблюдения","1752051","125","876025"
"построение и обслуживание структурированных кабельных систем (СКС)","8047302","299","2682434"
"создание и поддержка интеллектуальных медиасистем","4544197","262","1514732"
"телефония","8093325","133","2697775"
"создание виртуального офиса","2957458","218","985819"
"организация резервного копирования","3722037","19","1240679"
"администрирование сетей и серверов","957260","19","478630"
"техническая поддержка рабочих станций и ИТ сервисов","9024745","50","4512372"
"веб-разработка","9496390","225","3165463"
"создание мобильных систем","1519181","40","506393"
"создание и обслуживание систем контроля доступа к портам и устройствам","8217714","209","2739238"
"организацию антивирусной защиты","9518147","352","3172715"
"решения касающиеся сетевой безопасности и отражения угроз","5112682","36","1704227"
"организация систем видеонаблюдения","9029010","70","4514505"
"построение и обслуживание структурированных кабельных систем (СКС)","4158803","287","2079401"
"создание и поддержка интеллектуальных медиасистем","6350676","220","3175338"
"телефония","4544394","168","2272197"
"создание виртуального офиса","9458394","296","4729197"
"организация резервного копирования","6226941","291","2075647"
"администрирование сетей и серверов","8184275","191","2728091"
"техническая поддержка рабочих станций и ИТ сервисов","2933614","65","1466807"
"веб-разработка","1013108","304","337702"
"создание мобильных систем","6055946","111","2018648"
"создание и обслуживание систем контроля доступа к портам и устройствам","5701068","321","1900356"
"организацию антивирусной защиты","7748672","224","2582890"
"решения касающиеся сетевой безопасности и отражения угроз","1566245","178","783122"
"организация систем видеонаблюдения","4972027","242","2486013"
"построение и обслуживание структурированных кабельных систем (СКС)","8272048","112","4136024"
"создание и поддержка интеллектуальных медиасистем","9551226","91","3183742"
"телефония","6383725","246","2127908"
"создание виртуального офиса","3696462","264","1848231"
"организация резервного копирования","9045958","274","4522979"
"администрирование сетей и серверов","5697137","251","2848568"
"техническая поддержка рабочих станций и ИТ сервисов","1307592","333","435864"
"веб-разработка","150012","350","75006"
"создание мобильных систем","7370591","253","3685295"
"создание и обслуживание систем контроля доступа к портам и устройствам","9340056","318","4670028"
"организацию антивирусной защиты","4930737","39","1643579"
"решения касающиеся сетевой безопасности и отражения угроз","3903250","356","1951625"
"организация систем видеонаблюдения","5518759","328","1839586"
"построение и обслуживание структурированных кабельных систем (СКС)","4158067","66","1386022"
"создание и поддержка интеллектуальных медиасистем","3379297","341","1126432"
"телефония","2655593","196","885197"
"создание виртуального офиса","6609175","14","2203058"
"организация резервного копирования","8239225","57","4119612"
"администрирование сетей и серверов","1664981","61","554993"
"техническая поддержка рабочих станций и ИТ сервисов","1143652","223","381217"
"веб-разработка","1919624","53","959812"
"создание мобильных систем","4794980","59","2397490"
"создание и обслуживание систем контроля доступа к портам и устройствам","8820525","22","2940175"
"организацию антивирусной защиты","963366","20","321122"
"решения касающиеся сетевой безопасности и отражения угроз","8941474","95","2980491"
"организация систем видеонаблюдения","9748537","66","4874268"
"построение и обслуживание структурированных кабельных систем (СКС)","5377809","168","1792603"
"создание и поддержка интеллектуальных медиасистем","3598477","24","1799238"
"телефония","2818450","231","939483"
"создание виртуального офиса","8938542","141","2979514"
"организация резервного копирования","3115246","213","1557623"
"администрирование сетей и серверов","6189295","278","2063098"
"техническая поддержка рабочих станций и ИТ сервисов","5307802","210","1769267"
"веб-разработка","2431005","45","1215502"
"создание мобильных систем","5988670","284","2994335"
"создание и обслуживание систем контроля доступа к портам и устройствам","2299727","83","1149863"
"организацию антивирусной защиты","6520546","97","3260273"
"решения касающиеся сетевой безопасности и отражения угроз","4474372","189","2237186"
"организация систем видеонаблюдения","5398694","105","2699347"
"построение и обслуживание структурированных кабельных систем (СКС)","2183740","82","727913"
"создание и поддержка интеллектуальных медиасистем","2407340","29","802446"
"телефония","9760693","26","4880346"
"создание виртуального офиса","4011321","163","1337107"
"организация резервного копирования","6488487","167","2162829"
"администрирование сетей и серверов","5676933","260","2838466"
"техническая поддержка рабочих станций и ИТ сервисов","7140673","38","2380224"
"веб-разработка","4035577","36","2017788"
"создание мобильных систем","8977054","338","4488527"
"создание и обслуживание систем контроля доступа к портам и устройствам","5653912","348","1884637"
"организацию антивирусной защиты","4545436","160","2272718"
"решения касающиеся сетевой безопасности и отражения угроз","9648381","162","4824190"
"организация систем видеонаблюдения","4697930","256","1565976"
"построение и обслуживание структурированных кабельных систем (СКС)","5799740","57","1933246"
"создание и поддержка интеллектуальных медиасистем","2319181","39","1159590"
"телефония","6371374","93","3185687"
"создание виртуального офиса","581601","260","193867"
"организация резервного копирования","3899054","110","1299684"
"администрирование сетей и серверов","2299541","245","766513"
"техническая поддержка рабочих станций и ИТ сервисов","6288556","308","3144278"
"веб-разработка","7056393","230","2352131"
"создание мобильных систем","5428889","140","1809629"
"создание и обслуживание систем контроля доступа к портам и устройствам","6524377","74","2174792"
"организацию антивирусной защиты","1318894","293","439631"
"решения касающиеся сетевой безопасности и отражения угроз","2564202","83","1282101"
"организация систем видеонаблюдения","4728945","75","2364472"
"построение и обслуживание структурированных кабельных систем (СКС)","5555181","192","1851727"
"создание и поддержка интеллектуальных медиасистем","6659751","173","3329875"
"телефония","2205455","245","735151"
"создание виртуального офиса","3954112","244","1318037"
"организация резервного копирования","6910943","349","2303647"
"администрирование сетей и серверов","924707","297","462353"
"техническая поддержка рабочих станций и ИТ сервисов","5125433","320","2562716"
"веб-разработка","3322488","174","1107496"
"создание мобильных систем","8846366","61","2948788"
"создание и обслуживание систем контроля доступа к портам и устройствам","2128048","206","1064024"
"организацию антивирусной защиты","708479","69","236159"
"решения касающиеся сетевой безопасности и отражения угроз","3789127","40","1263042"
"организация систем видеонаблюдения","5749349","29","1916449"
"построение и обслуживание структурированных кабельных систем (СКС)","5243962","350","1747987"
"создание и поддержка интеллектуальных медиасистем","4535461","301","1511820"
"телефония","745544","276","372772"
"создание виртуального офиса","5445319","314","1815106"
"организация резервного копирования","4018159","302","1339386"
"администрирование сетей и серверов","5979128","346","1993042"
"техническая поддержка рабочих станций и ИТ сервисов","737653","75","368826"
"веб-разработка","4295736","97","1431912"
"создание мобильных систем","2677729","319","892576"
"создание и обслуживание систем контроля доступа к портам и устройствам","4440004","251","1480001"
"организацию антивирусной защиты","1027770","213","342590"
"решения касающиеся сетевой безопасности и отражения угроз","7621238","148","2540412"
"организация систем видеонаблюдения","8834761","116","2944920"
"построение и обслуживание структурированных кабельных систем (СКС)","3477554","271","1738777"
"создание и поддержка интеллектуальных медиасистем","4363110","286","1454370"
"телефония","8028211","104","4014105"
"создание виртуального офиса","2433993","50","811331"
"организация резервного копирования","4166338","60","2083169"
"администрирование сетей и серверов","8411643","86","2803881"
"техническая поддержка рабочих станций и ИТ сервисов","2431296","333","810432"
"веб-разработка","6637632","197","2212544"
"создание мобильных систем","2801700","80","1400850"
"создание и обслуживание систем контроля доступа к портам и устройствам","6713911","109","3356955"
"организацию антивирусной защиты","931556","312","465778"
"решения касающиеся сетевой безопасности и отражения угроз","8526310","75","4263155"
"организация систем видеонаблюдения","9065638","76","4532819"
"построение и обслуживание структурированных кабельных систем (СКС)","863685","307","431842"
"создание и поддержка интеллектуальных медиасистем","6135004","171","3067502"
"телефония","3969646","211","1323215"
"создание виртуального офиса","1821455","232","607151"
"организация резервного копирования","574674","211","191558"
"администрирование сетей и серверов","230759","344","115379"
"техническая поддержка рабочих станций и ИТ сервисов","7573010","349","3786505"
"веб-разработка","1659723","197","829861"
"создание мобильных систем","4851790","240","1617263"
"создание и обслуживание систем контроля доступа к портам и устройствам","2417677","180","805892"
"организацию антивирусной защиты","941858","281","470929"
"решения касающиеся сетевой безопасности и отражения угроз","4002422","150","2001211"
"организация систем видеонаблюдения","9682106","258","4841053"
"построение и обслуживание структурированных кабельных систем (СКС)","948585","326","474292"
"создание и поддержка интеллектуальных медиасистем","8723393","139","2907797"
"телефония","8781132","235","2927044"
"создание виртуального офиса","6868017","33","2289339"
"организация резервного копирования","624909","68","208303"
"администрирование сетей и серверов","3981373","120","1327124"
"техническая поддержка рабочих станций и ИТ сервисов","9791899","180","4895949"
"веб-разработка","7388273","168","3694136"
"создание мобильных систем","8322306","311","4161153"
"создание и обслуживание систем контроля доступа к портам и устройствам","3030793","249","1515396"
"организацию антивирусной защиты","452698","271","150899"
"решения касающиеся сетевой безопасности и отражения угроз","4855689","332","2427844"
"организация систем видеонаблюдения","4136653","89","1378884"
"построение и обслуживание структурированных кабельных систем (СКС)","4831417","154","1610472"
"создание и поддержка интеллектуальных медиасистем","7588403","276","2529467"
"телефония","4531936","67","1510645"
"создание виртуального офиса","9129740","46","3043246"
"организация резервного копирования","7534265","299","3767132"
"администрирование сетей и серверов","942523","331","314174"
"техническая поддержка рабочих станций и ИТ сервисов","873567","141","291189"
"веб-разработка","3911008","100","1303669"
"создание мобильных систем","9991305","141","3330435"
"создание и обслуживание систем контроля доступа к портам и устройствам","6678691","98","3339345"
"организацию антивирусной защиты","4915197","43","1638399"
"решения касающиеся сетевой безопасности и отражения угроз","8130885","265","2710295"
"организация систем видеонаблюдения","2944313","322","1472156"
"построение и обслуживание структурированных кабельных систем (СКС)","7170215","197","2390071"
"создание и поддержка интеллектуальных медиасистем","1324230","326","441410"
"телефония","9603165","217","3201055"
"создание виртуального офиса","105437","360","52718"
"организация резервного копирования","7557123","347","2519041"
"администрирование сетей и серверов","8185671","342","2728557"
"техническая поддержка рабочих станций и ИТ сервисов","1877771","288","938885"
"веб-разработка","5621614","302","2810807"
"создание мобильных систем","8546598","296","4273299"
"создание и обслуживание систем контроля доступа к портам и устройствам","1722520","51","861260"
"организацию антивирусной защиты","1966554","211","655518"
"решения касающиеся сетевой безопасности и отражения угроз","1976253","334","988126"
"организация систем видеонаблюдения","1059454","77","529727"
"построение и обслуживание структурированных кабельных систем (СКС)","768614","111","256204"
"создание и поддержка интеллектуальных медиасистем","7755646","202","3877823"
"телефония","7688852","277","3844426"
"создание виртуального офиса","7297875","228","2432625"
"организация резервного копирования","6398140","77","2132713"
"администрирование сетей и серверов","6405202","37","3202601"
"техническая поддержка рабочих станций и ИТ сервисов","2619275","159","873091"
"веб-разработка","920560","93","460280"
"создание мобильных систем","7680525","99","2560175"
"создание и обслуживание систем контроля доступа к портам и устройствам","3096064","363","1032021"
"организацию антивирусной защиты","6402756","129","2134252"
"решения касающиеся сетевой безопасности и отражения угроз","9741883","36","4870941"
"организация систем видеонаблюдения","6123617","254","2041205"
"построение и обслуживание структурированных кабельных систем (СКС)","1523936","263","761968"
"создание и поддержка интеллектуальных медиасистем","432196","335","144065"
"телефония","1411302","222","470434"
"создание виртуального офиса","4371578","213","1457192"
"организация резервного копирования","5944312","362","2972156"
"администрирование сетей и серверов","4376750","272","1458916"
"техническая поддержка рабочих станций и ИТ сервисов","6154270","317","3077135"
"веб-разработка","5734786","335","2867393"
"создание мобильных систем","8671745","239","4335872"
"создание и обслуживание систем контроля доступа к портам и устройствам","4906941","46","1635647"
"организацию антивирусной защиты","3947009","130","1973504"
"решения касающиеся сетевой безопасности и отражения угроз","2034770","47","1017385"
"организация систем видеонаблюдения","9409418","343","3136472"
"построение и обслуживание структурированных кабельных систем (СКС)","6025917","361","2008639"
"создание и поддержка интеллектуальных медиасистем","3785485","346","1892742"
"телефония","9230977","139","3076992"
"создание виртуального офиса","6235958","24","3117979"
"организация резервного копирования","8458023","341","2819341"
"администрирование сетей и серверов","2152403","138","1076201"
"техническая поддержка рабочих станций и ИТ сервисов","2882343","87","1441171"
"веб-разработка","6006304","357","3003152"
"создание мобильных систем","6157304","19","2052434"
"создание и обслуживание систем контроля доступа к портам и устройствам","543434","111","181144"
"организацию антивирусной защиты","219565","195","109782"
"решения касающиеся сетевой безопасности и отражения угроз","2520383","306","1260191"
"организация систем видеонаблюдения","6362828","256","2120942"
"построение и обслуживание структурированных кабельных систем (СКС)","769983","290","384991"
"создание и поддержка интеллектуальных медиасистем","7887092","155","3943546"
"телефония","7316292","82","2438764"
"создание виртуального офиса","1550076","231","516692"
"организация резервного копирования","6262218","19","2087406"
"администрирование сетей и серверов","3465310","118","1732655"
"техническая поддержка рабочих станций и ИТ сервисов","8070048","107","4035024"
"веб-разработка","6272690","84","2090896"
"создание мобильных систем","7281917","23","2427305"
"создание и обслуживание систем контроля доступа к портам и устройствам","2507004","49","835668"
"организацию антивирусной защиты","5050659","283","1683553"
"решения касающиеся сетевой безопасности и отражения угроз","9700612","39","4850306"
"организация систем видеонаблюдения","6131445","345","3065722"
"построение и обслуживание структурированных кабельных систем (СКС)","5614741","317","2807370"
"создание и поддержка интеллектуальных медиасистем","8263455","261","4131727"
"телефония","8050741","263","4025370"
"создание виртуального офиса","9264307","85","4632153"
"организация резервного копирования","7327888","338","3663944"
"администрирование сетей и серверов","3893259","274","1297753"
"техническая поддержка рабочих станций и ИТ сервисов","7715812","136","3857906"
"веб-разработка","7929188","265","3964594"
"создание мобильных систем","7463167","246","2487722"
"создание и обслуживание систем контроля доступа к портам и устройствам","8689859","115","2896619"
"организацию антивирусной защиты","5633070","181","2816535"
"решения касающиеся сетевой безопасности и отражения угроз","4328092","204","2164046"
"организация систем видеонаблюдения","599208","35","299604"
"построение и обслуживание структурированных кабельных систем (СКС)","104909","308","34969"
"создание и поддержка интеллектуальных медиасистем","3081031","302","1027010"
"телефония","294850","19","98283"
"создание виртуального офиса","546352","316","273176"
"организация резервного копирования","2455734","295","1227867"
"администрирование сетей и серверов","6613712","147","3306856"
"техническая поддержка рабочих станций и ИТ сервисов","8918309","321","4459154"
"веб-разработка","3550470","236","1775235"
"создание мобильных систем","4026907","55","1342302"
"создание и обслуживание систем контроля доступа к портам и устройствам","2503893","132","1251946"
"организацию антивирусной защиты","6489036","22","2163012"
"решения касающиеся сетевой безопасности и отражения угроз","5088746","356","1696248"
"организация систем видеонаблюдения","3246500","44","1082166"
"построение и обслуживание структурированных кабельных систем (СКС)","8752359","141","4376179"
"создание и поддержка интеллектуальных медиасистем","976426","236","488213"
"телефония","6062872","281","3031436"
"создание виртуального офиса","440106","62","146702"
"организация резервного копирования","3516017","181","1172005"
"администрирование сетей и серверов","1308496","255","436165"
"техническая поддержка рабочих станций и ИТ сервисов","9017749","267","4508874"
"веб-разработка","1882841","276","627613"
"создание мобильных систем","5045401","276","2522700"
"создание и обслуживание систем контроля доступа к портам и устройствам","1793117","155","896558"
"организацию антивирусной защиты","511605","289","170535"
"решения касающиеся сетевой безопасности и отражения угроз","5362769","203","1787589"
