"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"создание и поддержка интеллектуальных медиасистем","7445561","184","2481853"
"телефония","5583801","328","2791900"
"создание виртуального офиса","5798712","329","2899356"
"организация резервного копирования","7119607","306","3559803"
"администрирование сетей и серверов","2538315","272","1269157"
"техническая поддержка рабочих станций и ИТ сервисов","3944378","220","1972189"
"веб-разработка","1037585","330","518792"
"создание мобильных систем","5004852","171","1668284"
"создание и обслуживание систем контроля доступа к портам и устройствам","3419581","59","1139860"
"организацию антивирусной защиты","4297940","346","1432646"
"решения касающиеся сетевой безопасности и отражения угроз","922704","330","307568"
"организация систем видеонаблюдения","9322445","213","3107481"
"построение и обслуживание структурированных кабельных систем (СКС)","1780483","73","890241"
"создание и поддержка интеллектуальных медиасистем","7217919","223","2405973"
"телефония","5514661","191","1838220"
"создание виртуального офиса","4882518","312","2441259"
"организация резервного копирования","4900570","23","2450285"
"администрирование сетей и серверов","3910957","337","1955478"
"техническая поддержка рабочих станций и ИТ сервисов","7989074","255","3994537"
"веб-разработка","7450803","276","3725401"
"создание мобильных систем","5935812","143","2967906"
"создание и обслуживание систем контроля доступа к портам и устройствам","7069020","63","3534510"
"организацию антивирусной защиты","4000245","230","2000122"
"решения касающиеся сетевой безопасности и отражения угроз","4625496","224","2312748"
"организация систем видеонаблюдения","1837120","276","612373"
"построение и обслуживание структурированных кабельных систем (СКС)","5401028","134","2700514"
"создание и поддержка интеллектуальных медиасистем","7955157","325","2651719"
"телефония","8797672","172","4398836"
"создание виртуального офиса","6727365","178","3363682"
"организация резервного копирования","207248","177","69082"
"администрирование сетей и серверов","3295944","236","1647972"
"техническая поддержка рабочих станций и ИТ сервисов","1492735","250","746367"
"веб-разработка","824987","247","274995"
"создание мобильных систем","4201449","305","2100724"
"создание и обслуживание систем контроля доступа к портам и устройствам","7199678","346","3599839"
"организацию антивирусной защиты","3268139","130","1634069"
"решения касающиеся сетевой безопасности и отражения угроз","6023894","198","3011947"
"организация систем видеонаблюдения","5098414","130","2549207"
"построение и обслуживание структурированных кабельных систем (СКС)","5433582","118","2716791"
"создание и поддержка интеллектуальных медиасистем","5036149","104","2518074"
"телефония","6207535","326","2069178"
"создание виртуального офиса","3377984","170","1125994"
"организация резервного копирования","8805020","170","4402510"
"администрирование сетей и серверов","5773662","251","1924554"
"техническая поддержка рабочих станций и ИТ сервисов","1838465","184","919232"
"веб-разработка","6170874","102","2056958"
"создание мобильных систем","2020835","184","673611"
"создание и обслуживание систем контроля доступа к портам и устройствам","246180","192","82060"
"организацию антивирусной защиты","3295581","18","1098527"
"решения касающиеся сетевой безопасности и отражения угроз","9046590","114","3015530"
"организация систем видеонаблюдения","2811588","209","1405794"
"построение и обслуживание структурированных кабельных систем (СКС)","3269892","208","1634946"
"создание и поддержка интеллектуальных медиасистем","5093899","147","1697966"
"телефония","2136298","135","1068149"
"создание виртуального офиса","6635147","288","3317573"
"организация резервного копирования","8064985","175","4032492"
"администрирование сетей и серверов","6069790","331","3034895"
"техническая поддержка рабочих станций и ИТ сервисов","1793129","182","597709"
"веб-разработка","7490747","104","3745373"
"создание мобильных систем","7462210","343","3731105"
"создание и обслуживание систем контроля доступа к портам и устройствам","6757138","303","3378569"
"организацию антивирусной защиты","866277","311","288759"
"решения касающиеся сетевой безопасности и отражения угроз","238614","281","119307"
"организация систем видеонаблюдения","7804514","48","3902257"
"построение и обслуживание структурированных кабельных систем (СКС)","1988292","19","662764"
"создание и поддержка интеллектуальных медиасистем","9151994","217","4575997"
"телефония","4627594","91","2313797"
"создание виртуального офиса","5974241","63","1991413"
"организация резервного копирования","7296814","263","2432271"
"администрирование сетей и серверов","139559","119","46519"
"техническая поддержка рабочих станций и ИТ сервисов","2671419","93","890473"
"веб-разработка","7482928","211","3741464"
"создание мобильных систем","3085085","72","1028361"
"создание и обслуживание систем контроля доступа к портам и устройствам","5429278","261","1809759"
"организацию антивирусной защиты","8881321","52","2960440"
"решения касающиеся сетевой безопасности и отражения угроз","8217930","306","4108965"
"организация систем видеонаблюдения","5043377","80","2521688"
"построение и обслуживание структурированных кабельных систем (СКС)","111995","27","37331"
"создание и поддержка интеллектуальных медиасистем","6627166","21","2209055"
"телефония","196213","120","98106"
"создание виртуального офиса","9424977","128","4712488"
"организация резервного копирования","5949041","206","2974520"
"администрирование сетей и серверов","4496950","184","1498983"
"техническая поддержка рабочих станций и ИТ сервисов","9445128","318","4722564"
"веб-разработка","7310313","202","3655156"
"создание мобильных систем","904031","249","452015"
"создание и обслуживание систем контроля доступа к портам и устройствам","4530699","287","2265349"
"организацию антивирусной защиты","1163111","266","581555"
"решения касающиеся сетевой безопасности и отражения угроз","733025","40","366512"
"организация систем видеонаблюдения","3871585","80","1935792"
"построение и обслуживание структурированных кабельных систем (СКС)","6559868","301","2186622"
"создание и поддержка интеллектуальных медиасистем","9434569","227","4717284"
"телефония","3726683","47","1242227"
"создание виртуального офиса","1473187","165","736593"
"организация резервного копирования","1793850","251","597950"
"администрирование сетей и серверов","3502299","25","1751149"
"техническая поддержка рабочих станций и ИТ сервисов","4706632","314","2353316"
"веб-разработка","4028176","245","2014088"
"создание мобильных систем","7888399","174","2629466"
"создание и обслуживание систем контроля доступа к портам и устройствам","7148893","347","3574446"
"организацию антивирусной защиты","3949991","126","1974995"
"решения касающиеся сетевой безопасности и отражения угроз","4117673","76","1372557"
"организация систем видеонаблюдения","769739","78","256579"
"построение и обслуживание структурированных кабельных систем (СКС)","9905482","269","3301827"
"создание и поддержка интеллектуальных медиасистем","9570770","215","4785385"
"телефония","5113388","326","2556694"
"создание виртуального офиса","378933","318","189466"
"организация резервного копирования","9877896","95","3292632"
"администрирование сетей и серверов","3560870","59","1186956"
"техническая поддержка рабочих станций и ИТ сервисов","5708425","342","1902808"
"веб-разработка","1062990","59","531495"
"создание мобильных систем","8922570","348","4461285"
"создание и обслуживание систем контроля доступа к портам и устройствам","7326570","97","2442190"
"организацию антивирусной защиты","9991611","45","3330537"
"решения касающиеся сетевой безопасности и отражения угроз","7538468","106","2512822"
"организация систем видеонаблюдения","6666450","345","2222150"
"построение и обслуживание структурированных кабельных систем (СКС)","2860287","67","1430143"
"создание и поддержка интеллектуальных медиасистем","719401","161","359700"
"телефония","8613701","326","4306850"
"создание виртуального офиса","6617726","301","2205908"
"организация резервного копирования","7758705","101","2586235"
"администрирование сетей и серверов","6394670","255","3197335"
"техническая поддержка рабочих станций и ИТ сервисов","2072609","339","1036304"
"веб-разработка","5798836","47","1932945"
"создание мобильных систем","8804685","229","2934895"
"создание и обслуживание систем контроля доступа к портам и устройствам","1382953","321","460984"
"организацию антивирусной защиты","3498317","297","1749158"
"решения касающиеся сетевой безопасности и отражения угроз","8688443","221","2896147"
"организация систем видеонаблюдения","1380399","142","460133"
"построение и обслуживание структурированных кабельных систем (СКС)","2934561","24","978187"
"создание и поддержка интеллектуальных медиасистем","4756067","139","1585355"
"телефония","4428246","164","1476082"
"создание виртуального офиса","9083449","24","4541724"
"организация резервного копирования","6986835","226","3493417"
"администрирование сетей и серверов","5907526","203","1969175"
"техническая поддержка рабочих станций и ИТ сервисов","5622493","18","1874164"
"веб-разработка","3031295","326","1010431"
"создание мобильных систем","1808634","220","904317"
"создание и обслуживание систем контроля доступа к портам и устройствам","2931555","177","977185"
"организацию антивирусной защиты","376185","175","188092"
"решения касающиеся сетевой безопасности и отражения угроз","4584703","256","1528234"
"организация систем видеонаблюдения","1779481","99","889740"
"построение и обслуживание структурированных кабельных систем (СКС)","4376435","306","1458811"
"создание и поддержка интеллектуальных медиасистем","4409820","82","1469940"
"телефония","7775823","300","3887911"
"создание виртуального офиса","4480295","111","1493431"
"организация резервного копирования","3521885","312","1173961"
"администрирование сетей и серверов","9603099","209","3201033"
"техническая поддержка рабочих станций и ИТ сервисов","8436911","332","4218455"
"веб-разработка","2828600","183","1414300"
"создание мобильных систем","8385176","291","4192588"
"создание и обслуживание систем контроля доступа к портам и устройствам","6224586","120","2074862"
"организацию антивирусной защиты","9106525","70","4553262"
"решения касающиеся сетевой безопасности и отражения угроз","9529220","231","3176406"
"организация систем видеонаблюдения","290414","259","96804"
"построение и обслуживание структурированных кабельных систем (СКС)","5749074","115","1916358"
"создание и поддержка интеллектуальных медиасистем","8058567","98","2686189"
"телефония","9283991","344","3094663"
"создание виртуального офиса","6413564","327","3206782"
"организация резервного копирования","1840881","248","920440"
"администрирование сетей и серверов","9654554","179","3218184"
"техническая поддержка рабочих станций и ИТ сервисов","4701620","153","1567206"
"веб-разработка","2281847","51","1140923"
"создание мобильных систем","1459086","165","486362"
"создание и обслуживание систем контроля доступа к портам и устройствам","5215097","146","1738365"
"организацию антивирусной защиты","4881575","310","1627191"
"решения касающиеся сетевой безопасности и отражения угроз","7895304","280","2631768"
"организация систем видеонаблюдения","1199127","179","399709"
"построение и обслуживание структурированных кабельных систем (СКС)","261610","273","87203"
"создание и поддержка интеллектуальных медиасистем","4424549","19","2212274"
"телефония","8923192","330","4461596"
"создание виртуального офиса","1786201","60","595400"
"организация резервного копирования","1625739","14","812869"
"администрирование сетей и серверов","5663586","114","1887862"
"техническая поддержка рабочих станций и ИТ сервисов","611943","234","203981"
"веб-разработка","985563","354","328521"
"создание мобильных систем","2351778","258","1175889"
"создание и обслуживание систем контроля доступа к портам и устройствам","7924527","266","2641509"
"организацию антивирусной защиты","783477","341","261159"
"решения касающиеся сетевой безопасности и отражения угроз","549464","167","274732"
"организация систем видеонаблюдения","4484594","31","1494864"
"построение и обслуживание структурированных кабельных систем (СКС)","7125773","297","3562886"
"создание и поддержка интеллектуальных медиасистем","6301923","186","2100641"
"телефония","7771863","96","3885931"
"создание виртуального офиса","7809640","20","3904820"
"организация резервного копирования","6020051","316","2006683"
"администрирование сетей и серверов","5279924","253","1759974"
"техническая поддержка рабочих станций и ИТ сервисов","5994568","297","2997284"
"веб-разработка","2408885","53","802961"
"создание мобильных систем","3082199","267","1541099"
"создание и обслуживание систем контроля доступа к портам и устройствам","9585422","107","3195140"
"организацию антивирусной защиты","8454430","45","2818143"
"решения касающиеся сетевой безопасности и отражения угроз","4609431","117","2304715"
"организация систем видеонаблюдения","2393277","270","1196638"
"построение и обслуживание структурированных кабельных систем (СКС)","198525","331","66175"
"создание и поддержка интеллектуальных медиасистем","6386179","101","3193089"
"телефония","157135","348","78567"
"создание виртуального офиса","2360570","171","786856"
"организация резервного копирования","4683990","202","1561330"
"администрирование сетей и серверов","1309980","276","436660"
"техническая поддержка рабочих станций и ИТ сервисов","7852663","74","2617554"
"веб-разработка","2700867","60","1350433"
"создание мобильных систем","1529272","26","764636"
"создание и обслуживание систем контроля доступа к портам и устройствам","6444667","336","3222333"
"организацию антивирусной защиты","6503277","152","2167759"
"решения касающиеся сетевой безопасности и отражения угроз","4587703","102","1529234"
"организация систем видеонаблюдения","4246094","121","2123047"
"построение и обслуживание структурированных кабельных систем (СКС)","717371","253","239123"
"создание и поддержка интеллектуальных медиасистем","1988200","117","662733"
"телефония","706149","14","353074"
"создание виртуального офиса","2101361","346","1050680"
"организация резервного копирования","9509435","99","3169811"
"администрирование сетей и серверов","9527180","324","3175726"
"техническая поддержка рабочих станций и ИТ сервисов","710267","53","236755"
"веб-разработка","2325643","124","775214"
"создание мобильных систем","7427354","281","3713677"
"создание и обслуживание систем контроля доступа к портам и устройствам","5909656","180","1969885"
"организацию антивирусной защиты","6930733","209","3465366"
"решения касающиеся сетевой безопасности и отражения угроз","3948375","269","1316125"
"организация систем видеонаблюдения","412491","184","137497"
"построение и обслуживание структурированных кабельных систем (СКС)","9577692","224","3192564"
"создание и поддержка интеллектуальных медиасистем","8291294","80","4145647"
"телефония","1928932","135","642977"
"создание виртуального офиса","872629","189","290876"
"организация резервного копирования","3961191","38","1320397"
"администрирование сетей и серверов","3022254","273","1007418"
"техническая поддержка рабочих станций и ИТ сервисов","6214552","177","2071517"
"веб-разработка","5553002","188","1851000"
"создание мобильных систем","6411199","307","2137066"
"создание и обслуживание систем контроля доступа к портам и устройствам","2567873","95","1283936"
"организацию антивирусной защиты","9442257","278","4721128"
"решения касающиеся сетевой безопасности и отражения угроз","9267394","146","3089131"
"организация систем видеонаблюдения","6245322","360","2081774"
"построение и обслуживание структурированных кабельных систем (СКС)","5671943","212","1890647"
"создание и поддержка интеллектуальных медиасистем","8977255","264","2992418"
"телефония","6395859","262","3197929"
"создание виртуального офиса","3541545","108","1770772"
"организация резервного копирования","6585069","49","3292534"
"администрирование сетей и серверов","2189773","318","1094886"
"техническая поддержка рабочих станций и ИТ сервисов","7915983","184","3957991"
"веб-разработка","1017957","358","339319"
"создание мобильных систем","5724575","125","1908191"
"создание и обслуживание систем контроля доступа к портам и устройствам","7872438","355","3936219"
"организацию антивирусной защиты","9867067","138","4933533"
"решения касающиеся сетевой безопасности и отражения угроз","1055265","126","527632"
"организация систем видеонаблюдения","9147416","23","4573708"
"построение и обслуживание структурированных кабельных систем (СКС)","4947668","280","2473834"
"создание и поддержка интеллектуальных медиасистем","4439079","118","2219539"
"телефония","1496591","227","748295"
"создание виртуального офиса","4900296","88","2450148"
"организация резервного копирования","4633499","258","2316749"
"администрирование сетей и серверов","667374","44","333687"
"техническая поддержка рабочих станций и ИТ сервисов","6799775","45","2266591"
"веб-разработка","6579968","14","3289984"
"создание мобильных систем","5940741","257","2970370"
"создание и обслуживание систем контроля доступа к портам и устройствам","3335916","74","1111972"
"организацию антивирусной защиты","6378513","216","2126171"
"решения касающиеся сетевой безопасности и отражения угроз","2814173","58","1407086"
"организация систем видеонаблюдения","6186766","85","2062255"
"построение и обслуживание структурированных кабельных систем (СКС)","9842007","149","4921003"
"создание и поддержка интеллектуальных медиасистем","9484235","252","3161411"
"телефония","3711855","144","1237285"
"создание виртуального офиса","3596736","19","1798368"
"организация резервного копирования","9982235","299","3327411"
"администрирование сетей и серверов","5642567","37","2821283"
"техническая поддержка рабочих станций и ИТ сервисов","9403077","194","4701538"
"веб-разработка","9102953","324","4551476"
"создание мобильных систем","9308598","77","4654299"
"создание и обслуживание систем контроля доступа к портам и устройствам","6021220","114","2007073"
"организацию антивирусной защиты","3977623","173","1325874"
"решения касающиеся сетевой безопасности и отражения угроз","3951208","263","1317069"
"организация систем видеонаблюдения","3811373","259","1270457"
"построение и обслуживание структурированных кабельных систем (СКС)","6762077","359","3381038"
"создание и поддержка интеллектуальных медиасистем","5100912","286","1700304"
"телефония","1259878","19","629939"
"создание виртуального офиса","8169417","156","4084708"
"организация резервного копирования","4151862","351","1383954"
"администрирование сетей и серверов","5378038","276","2689019"
"техническая поддержка рабочих станций и ИТ сервисов","4844769","251","1614923"
"веб-разработка","2773810","355","1386905"
"создание мобильных систем","603794","103","301897"
"создание и обслуживание систем контроля доступа к портам и устройствам","9226614","252","4613307"
"организацию антивирусной защиты","1369124","137","456374"
"решения касающиеся сетевой безопасности и отражения угроз","2896902","333","1448451"
"организация систем видеонаблюдения","500113","87","166704"
"построение и обслуживание структурированных кабельных систем (СКС)","189394","282","63131"
"создание и поддержка интеллектуальных медиасистем","3279765","156","1093255"
"телефония","4821144","209","2410572"
"создание виртуального офиса","4918141","74","1639380"
"организация резервного копирования","1685762","24","561920"
"администрирование сетей и серверов","7176540","126","2392180"
"техническая поддержка рабочих станций и ИТ сервисов","4008857","240","2004428"
"веб-разработка","2567321","320","855773"
"создание мобильных систем","5776516","198","1925505"
"создание и обслуживание систем контроля доступа к портам и устройствам","6745853","175","2248617"
"организацию антивирусной защиты","5835153","311","2917576"
"решения касающиеся сетевой безопасности и отражения угроз","5178130","274","1726043"
"организация систем видеонаблюдения","1511810","113","503936"
"построение и обслуживание структурированных кабельных систем (СКС)","5186103","17","2593051"
"создание и поддержка интеллектуальных медиасистем","4354913","323","2177456"
"телефония","8060011","323","2686670"
"создание виртуального офиса","887106","245","295702"
"организация резервного копирования","7946471","17","3973235"
"администрирование сетей и серверов","6316787","333","3158393"
"техническая поддержка рабочих станций и ИТ сервисов","5172300","63","1724100"
"веб-разработка","9611847","202","3203949"
"создание мобильных систем","8626715","87","4313357"
"создание и обслуживание систем контроля доступа к портам и устройствам","7655470","146","3827735"
"организацию антивирусной защиты","428809","334","214404"
"решения касающиеся сетевой безопасности и отражения угроз","7362295","47","2454098"
"организация систем видеонаблюдения","1252431","150","417477"
"построение и обслуживание структурированных кабельных систем (СКС)","2746981","172","915660"
"создание и поддержка интеллектуальных медиасистем","582701","90","194233"
"телефония","9026647","240","4513323"
"создание виртуального офиса","3804870","340","1902435"
"организация резервного копирования","6132105","234","3066052"
"администрирование сетей и серверов","3291300","319","1645650"
"техническая поддержка рабочих станций и ИТ сервисов","1481010","92","493670"
"веб-разработка","305062","351","152531"
"создание мобильных систем","276287","117","92095"
"создание и обслуживание систем контроля доступа к портам и устройствам","7029410","109","2343136"
"организацию антивирусной защиты","772601","123","257533"
"решения касающиеся сетевой безопасности и отражения угроз","9098416","343","3032805"
"организация систем видеонаблюдения","3986477","164","1993238"
"построение и обслуживание структурированных кабельных систем (СКС)","583987","285","194662"
"создание и поддержка интеллектуальных медиасистем","8754020","174","4377010"
"телефония","9996122","276","3332040"
"создание виртуального офиса","3795149","44","1897574"
"организация резервного копирования","2060128","283","686709"
"администрирование сетей и серверов","5203318","343","2601659"
"техническая поддержка рабочих станций и ИТ сервисов","4657707","25","2328853"
"веб-разработка","4239140","99","2119570"
"создание мобильных систем","7865338","54","3932669"
"создание и обслуживание систем контроля доступа к портам и устройствам","852895","234","426447"
"организацию антивирусной защиты","4970643","66","2485321"
"решения касающиеся сетевой безопасности и отражения угроз","411180","190","205590"
"организация систем видеонаблюдения","8554759","103","4277379"
"построение и обслуживание структурированных кабельных систем (СКС)","8380700","154","4190350"
"создание и поддержка интеллектуальных медиасистем","4659076","47","1553025"
"телефония","3687917","192","1843958"
"создание виртуального офиса","4274118","162","1424706"
"организация резервного копирования","1195385","317","398461"
"администрирование сетей и серверов","7344081","306","2448027"
"техническая поддержка рабочих станций и ИТ сервисов","6089483","87","2029827"
"веб-разработка","7298912","335","3649456"
"создание мобильных систем","3941494","349","1313831"
"создание и обслуживание систем контроля доступа к портам и устройствам","6612578","77","2204192"
"организацию антивирусной защиты","700345","26","233448"
"решения касающиеся сетевой безопасности и отражения угроз","5250509","180","2625254"
"организация систем видеонаблюдения","1996839","92","998419"
"построение и обслуживание структурированных кабельных систем (СКС)","4468177","219","1489392"
"создание и поддержка интеллектуальных медиасистем","8189355","211","2729785"
"телефония","3986048","149","1993024"
"создание виртуального офиса","9394069","15","3131356"
"организация резервного копирования","1940932","316","970466"
"администрирование сетей и серверов","5468009","121","2734004"
"техническая поддержка рабочих станций и ИТ сервисов","1217361","259","405787"
"веб-разработка","7436610","186","2478870"
"создание мобильных систем","4249671","201","1416557"
"создание и обслуживание систем контроля доступа к портам и устройствам","4079167","237","2039583"
"организацию антивирусной защиты","7333989","152","2444663"
"решения касающиеся сетевой безопасности и отражения угроз","6816746","164","2272248"
"организация систем видеонаблюдения","7447077","346","3723538"
"построение и обслуживание структурированных кабельных систем (СКС)","1844721","119","922360"
"создание и поддержка интеллектуальных медиасистем","3501691","358","1167230"
"телефония","2561188","40","1280594"
"создание виртуального офиса","3569059","178","1784529"
"организация резервного копирования","4162860","308","2081430"
"администрирование сетей и серверов","9981781","159","4990890"
"техническая поддержка рабочих станций и ИТ сервисов","3682600","199","1227533"
"веб-разработка","1824057","126","912028"
"создание мобильных систем","6588792","287","3294396"
"создание и обслуживание систем контроля доступа к портам и устройствам","6833377","48","2277792"
"организацию антивирусной защиты","5697515","304","1899171"
"решения касающиеся сетевой безопасности и отражения угроз","5675374","257","2837687"
"организация систем видеонаблюдения","2889994","68","1444997"
"построение и обслуживание структурированных кабельных систем (СКС)","645347","358","322673"
"создание и поддержка интеллектуальных медиасистем","5531814","27","2765907"
"телефония","1402927","343","467642"
"создание виртуального офиса","9117621","32","4558810"
"организация резервного копирования","2961762","104","1480881"
"администрирование сетей и серверов","887957","231","295985"
"техническая поддержка рабочих станций и ИТ сервисов","8128811","331","4064405"
"веб-разработка","178080","210","89040"
"создание мобильных систем","7328620","275","3664310"
"создание и обслуживание систем контроля доступа к портам и устройствам","7425755","198","3712877"
"организацию антивирусной защиты","8508366","166","4254183"
"решения касающиеся сетевой безопасности и отражения угроз","6742899","361","3371449"
