"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","6453246","28","2151082"
"создание и поддержка интеллектуальных медиасистем","5362747","69","1787582"
"телефония","8579101","206","4289550"
"создание виртуального офиса","8610862","362","4305431"
"организация резервного копирования","8647781","93","2882593"
"администрирование сетей и серверов","3682799","158","1841399"
"техническая поддержка рабочих станций и ИТ сервисов","6023025","178","2007675"
"веб-разработка","9042753","84","4521376"
"создание мобильных систем","8103492","325","4051746"
"создание и обслуживание систем контроля доступа к портам и устройствам","3548279","305","1774139"
"организацию антивирусной защиты","1515471","294","505157"
"решения касающиеся сетевой безопасности и отражения угроз","548722","297","274361"
"организация систем видеонаблюдения","7322891","291","2440963"
"построение и обслуживание структурированных кабельных систем (СКС)","2431496","180","1215748"
"создание и поддержка интеллектуальных медиасистем","9871119","172","3290373"
"телефония","7295591","291","2431863"
"создание виртуального офиса","4399536","303","1466512"
"организация резервного копирования","4414532","201","2207266"
"администрирование сетей и серверов","7282914","142","3641457"
"техническая поддержка рабочих станций и ИТ сервисов","9752471","113","4876235"
"веб-разработка","9016038","63","4508019"
"создание мобильных систем","2946215","36","1473107"
"создание и обслуживание систем контроля доступа к портам и устройствам","9096996","296","3032332"
"организацию антивирусной защиты","3052427","127","1526213"
"решения касающиеся сетевой безопасности и отражения угроз","2925753","70","975251"
"организация систем видеонаблюдения","1659009","354","553003"
"построение и обслуживание структурированных кабельных систем (СКС)","9289534","34","4644767"
"создание и поддержка интеллектуальных медиасистем","6572354","243","2190784"
"телефония","5909060","17","2954530"
"создание виртуального офиса","2204190","250","1102095"
"организация резервного копирования","7975636","268","3987818"
"администрирование сетей и серверов","3177263","55","1588631"
"техническая поддержка рабочих станций и ИТ сервисов","7544847","315","3772423"
"веб-разработка","284097","152","142048"
"создание мобильных систем","2490001","108","830000"
"создание и обслуживание систем контроля доступа к портам и устройствам","5186237","278","1728745"
"организацию антивирусной защиты","1647784","356","823892"
"решения касающиеся сетевой безопасности и отражения угроз","6854927","358","2284975"
"организация систем видеонаблюдения","9309869","342","3103289"
"построение и обслуживание структурированных кабельных систем (СКС)","6964691","155","3482345"
"создание и поддержка интеллектуальных медиасистем","9889564","311","4944782"
"телефония","5179080","275","1726360"
"создание виртуального офиса","6452857","257","3226428"
"организация резервного копирования","7873363","308","2624454"
"администрирование сетей и серверов","6652147","211","3326073"
"техническая поддержка рабочих станций и ИТ сервисов","3288272","265","1096090"
"веб-разработка","9475783","289","4737891"
"создание мобильных систем","5892988","73","1964329"
"создание и обслуживание систем контроля доступа к портам и устройствам","115237","54","57618"
"организацию антивирусной защиты","3897483","204","1948741"
"решения касающиеся сетевой безопасности и отражения угроз","2115800","218","705266"
"организация систем видеонаблюдения","6858479","43","2286159"
"построение и обслуживание структурированных кабельных систем (СКС)","8961245","267","4480622"
"создание и поддержка интеллектуальных медиасистем","1553064","91","517688"
"телефония","2264451","149","1132225"
"создание виртуального офиса","873230","318","291076"
"организация резервного копирования","1332552","22","666276"
"администрирование сетей и серверов","245204","117","122602"
"техническая поддержка рабочих станций и ИТ сервисов","2909759","98","969919"
"веб-разработка","9338880","272","4669440"
"создание мобильных систем","6175130","81","2058376"
"создание и обслуживание систем контроля доступа к портам и устройствам","4422639","282","2211319"
"организацию антивирусной защиты","8880846","195","4440423"
"решения касающиеся сетевой безопасности и отражения угроз","9862930","270","4931465"
"организация систем видеонаблюдения","6014429","98","2004809"
"построение и обслуживание структурированных кабельных систем (СКС)","5623324","326","2811662"
"создание и поддержка интеллектуальных медиасистем","9196326","363","3065442"
"телефония","4148792","239","2074396"
"создание виртуального офиса","9334711","237","3111570"
"организация резервного копирования","7085937","70","2361979"
"администрирование сетей и серверов","5106076","344","1702025"
"техническая поддержка рабочих станций и ИТ сервисов","5798448","197","2899224"
"веб-разработка","2248503","128","1124251"
"создание мобильных систем","9230415","343","3076805"
"создание и обслуживание систем контроля доступа к портам и устройствам","5701071","72","2850535"
"организацию антивирусной защиты","4804167","302","1601389"
"решения касающиеся сетевой безопасности и отражения угроз","2225179","353","741726"
"организация систем видеонаблюдения","7904107","224","3952053"
"построение и обслуживание структурированных кабельных систем (СКС)","6297167","139","3148583"
"создание и поддержка интеллектуальных медиасистем","6199349","40","3099674"
"телефония","8109442","256","4054721"
"создание виртуального офиса","8606123","148","4303061"
"организация резервного копирования","5954120","315","2977060"
"администрирование сетей и серверов","2330276","283","1165138"
"техническая поддержка рабочих станций и ИТ сервисов","8336457","284","4168228"
"веб-разработка","7763308","245","2587769"
"создание мобильных систем","2803247","148","934415"
"создание и обслуживание систем контроля доступа к портам и устройствам","4777774","311","2388887"
"организацию антивирусной защиты","2682788","158","1341394"
"решения касающиеся сетевой безопасности и отражения угроз","3652544","159","1826272"
"организация систем видеонаблюдения","9679367","176","3226455"
"построение и обслуживание структурированных кабельных систем (СКС)","6630180","55","2210060"
"создание и поддержка интеллектуальных медиасистем","7837402","256","3918701"
"телефония","5660949","179","2830474"
"создание виртуального офиса","615824","117","307912"
"организация резервного копирования","5780843","251","2890421"
"администрирование сетей и серверов","4668413","339","2334206"
"техническая поддержка рабочих станций и ИТ сервисов","3492304","120","1746152"
"веб-разработка","1840622","269","613540"
"создание мобильных систем","2125792","319","1062896"
"создание и обслуживание систем контроля доступа к портам и устройствам","5890597","178","1963532"
"организацию антивирусной защиты","4645337","30","1548445"
"решения касающиеся сетевой безопасности и отражения угроз","2353105","153","1176552"
"организация систем видеонаблюдения","3811549","232","1270516"
"построение и обслуживание структурированных кабельных систем (СКС)","8254761","300","4127380"
"создание и поддержка интеллектуальных медиасистем","4952560","362","1650853"
"телефония","8558694","302","4279347"
"создание виртуального офиса","852435","311","426217"
"организация резервного копирования","8553305","320","2851101"
"администрирование сетей и серверов","4575005","270","1525001"
"техническая поддержка рабочих станций и ИТ сервисов","8994745","277","2998248"
"веб-разработка","9101047","230","3033682"
"создание мобильных систем","7490394","97","3745197"
"создание и обслуживание систем контроля доступа к портам и устройствам","3808037","281","1904018"
"организацию антивирусной защиты","1841637","97","613879"
"решения касающиеся сетевой безопасности и отражения угроз","670649","284","223549"
"организация систем видеонаблюдения","3914207","85","1957103"
"построение и обслуживание структурированных кабельных систем (СКС)","4762553","147","1587517"
"создание и поддержка интеллектуальных медиасистем","6681722","79","3340861"
"телефония","3072815","181","1024271"
"создание виртуального офиса","4322304","84","1440768"
"организация резервного копирования","6700744","207","3350372"
"администрирование сетей и серверов","4044906","360","1348302"
"техническая поддержка рабочих станций и ИТ сервисов","7025649","65","2341883"
"веб-разработка","9952506","301","3317502"
"создание мобильных систем","7431860","246","3715930"
"создание и обслуживание систем контроля доступа к портам и устройствам","3775600","212","1258533"
"организацию антивирусной защиты","4704766","118","2352383"
"решения касающиеся сетевой безопасности и отражения угроз","7361699","71","2453899"
"организация систем видеонаблюдения","2036994","336","678998"
"построение и обслуживание структурированных кабельных систем (СКС)","1414845","299","707422"
"создание и поддержка интеллектуальных медиасистем","7674364","122","3837182"
"телефония","7936360","247","3968180"
"создание виртуального офиса","5633835","43","1877945"
"организация резервного копирования","7851168","259","2617056"
"администрирование сетей и серверов","5011196","118","2505598"
"техническая поддержка рабочих станций и ИТ сервисов","1963909","105","981954"
"веб-разработка","9299856","288","3099952"
"создание мобильных систем","6797841","190","2265947"
"создание и обслуживание систем контроля доступа к портам и устройствам","1621179","317","540393"
"организацию антивирусной защиты","776191","244","388095"
"решения касающиеся сетевой безопасности и отражения угроз","7565834","341","2521944"
"организация систем видеонаблюдения","6435419","201","2145139"
"построение и обслуживание структурированных кабельных систем (СКС)","279044","263","93014"
"создание и поддержка интеллектуальных медиасистем","7814754","246","3907377"
"телефония","1531583","108","510527"
"создание виртуального офиса","853252","243","426626"
"организация резервного копирования","3337492","237","1112497"
"администрирование сетей и серверов","2051091","259","1025545"
"техническая поддержка рабочих станций и ИТ сервисов","8770161","100","2923387"
"веб-разработка","7354362","289","3677181"
"создание мобильных систем","1072054","99","536027"
"создание и обслуживание систем контроля доступа к портам и устройствам","3602577","258","1200859"
"организацию антивирусной защиты","5837936","290","1945978"
"решения касающиеся сетевой безопасности и отражения угроз","4942459","150","2471229"
"организация систем видеонаблюдения","3866828","88","1933414"
"построение и обслуживание структурированных кабельных систем (СКС)","8140780","257","2713593"
"создание и поддержка интеллектуальных медиасистем","8141232","42","2713744"
"телефония","3898497","207","1949248"
"создание виртуального офиса","7615599","69","2538533"
"организация резервного копирования","8153281","307","2717760"
"администрирование сетей и серверов","7935061","143","2645020"
"техническая поддержка рабочих станций и ИТ сервисов","9752648","243","3250882"
"веб-разработка","5370573","18","2685286"
"создание мобильных систем","996370","268","332123"
"создание и обслуживание систем контроля доступа к портам и устройствам","4020874","29","2010437"
"организацию антивирусной защиты","9147710","193","3049236"
"решения касающиеся сетевой безопасности и отражения угроз","9515538","258","3171846"
"организация систем видеонаблюдения","167121","334","83560"
"построение и обслуживание структурированных кабельных систем (СКС)","7321990","76","3660995"
"создание и поддержка интеллектуальных медиасистем","984482","303","492241"
"телефония","7811171","282","3905585"
"создание виртуального офиса","8141941","55","2713980"
"организация резервного копирования","5756008","199","2878004"
"администрирование сетей и серверов","874082","151","291360"
"техническая поддержка рабочих станций и ИТ сервисов","8192397","92","2730799"
"веб-разработка","7720700","235","2573566"
"создание мобильных систем","1055288","126","351762"
"создание и обслуживание систем контроля доступа к портам и устройствам","3118678","173","1559339"
"организацию антивирусной защиты","8325880","323","4162940"
"решения касающиеся сетевой безопасности и отражения угроз","5041112","153","1680370"
"организация систем видеонаблюдения","8564482","210","2854827"
"построение и обслуживание структурированных кабельных систем (СКС)","9149477","31","3049825"
"создание и поддержка интеллектуальных медиасистем","4392778","41","2196389"
"телефония","4404828","118","2202414"
"создание виртуального офиса","702991","142","351495"
"организация резервного копирования","4620473","94","2310236"
"администрирование сетей и серверов","7644934","43","3822467"
"техническая поддержка рабочих станций и ИТ сервисов","7703596","339","3851798"
"веб-разработка","9524247","15","4762123"
"создание мобильных систем","788066","166","394033"
"создание и обслуживание систем контроля доступа к портам и устройствам","235630","208","117815"
"организацию антивирусной защиты","5165357","149","1721785"
"решения касающиеся сетевой безопасности и отражения угроз","951299","57","475649"
"организация систем видеонаблюдения","6407450","84","3203725"
"построение и обслуживание структурированных кабельных систем (СКС)","6254680","142","3127340"
"создание и поддержка интеллектуальных медиасистем","9713563","29","4856781"
"телефония","9766173","244","3255391"
"создание виртуального офиса","6955363","352","2318454"
"организация резервного копирования","3707083","352","1853541"
"администрирование сетей и серверов","8086202","227","4043101"
"техническая поддержка рабочих станций и ИТ сервисов","9314359","73","3104786"
"веб-разработка","9065965","195","4532982"
"создание мобильных систем","6396631","190","3198315"
"создание и обслуживание систем контроля доступа к портам и устройствам","7469508","70","2489836"
"организацию антивирусной защиты","2296148","43","765382"
"решения касающиеся сетевой безопасности и отражения угроз","1781267","82","593755"
"организация систем видеонаблюдения","8032111","214","2677370"
"построение и обслуживание структурированных кабельных систем (СКС)","3958272","108","1979136"
"создание и поддержка интеллектуальных медиасистем","4004695","300","2002347"
"телефония","3908805","145","1302935"
"создание виртуального офиса","9503716","335","4751858"
"организация резервного копирования","1573940","355","786970"
"администрирование сетей и серверов","2761894","166","1380947"
"техническая поддержка рабочих станций и ИТ сервисов","3024865","233","1512432"
"веб-разработка","3550271","44","1775135"
"создание мобильных систем","6248145","210","3124072"
"создание и обслуживание систем контроля доступа к портам и устройствам","6473882","186","2157960"
"организацию антивирусной защиты","2473274","348","1236637"
"решения касающиеся сетевой безопасности и отражения угроз","6220986","279","2073662"
"организация систем видеонаблюдения","8830061","281","4415030"
"построение и обслуживание структурированных кабельных систем (СКС)","2344358","358","1172179"
"создание и поддержка интеллектуальных медиасистем","9814203","319","3271401"
"телефония","2441275","94","813758"
"создание виртуального офиса","9200494","360","3066831"
"организация резервного копирования","8225442","313","2741814"
"администрирование сетей и серверов","3167653","254","1055884"
"техническая поддержка рабочих станций и ИТ сервисов","8918926","196","2972975"
"веб-разработка","2788130","134","1394065"
"создание мобильных систем","4253363","40","1417787"
"создание и обслуживание систем контроля доступа к портам и устройствам","7148051","178","3574025"
"организацию антивирусной защиты","5720542","27","2860271"
"решения касающиеся сетевой безопасности и отражения угроз","3808108","166","1904054"
"организация систем видеонаблюдения","9009880","263","3003293"
"построение и обслуживание структурированных кабельных систем (СКС)","3287103","272","1643551"
"создание и поддержка интеллектуальных медиасистем","9224144","306","4612072"
"телефония","5697529","318","1899176"
"создание виртуального офиса","7088691","62","2362897"
"организация резервного копирования","2386973","38","1193486"
"администрирование сетей и серверов","4773789","179","2386894"
"техническая поддержка рабочих станций и ИТ сервисов","5043248","64","1681082"
"веб-разработка","8414514","124","2804838"
"создание мобильных систем","6844069","53","3422034"
"создание и обслуживание систем контроля доступа к портам и устройствам","9111594","138","4555797"
"организацию антивирусной защиты","6250215","19","2083405"
"решения касающиеся сетевой безопасности и отражения угроз","6937114","265","2312371"
"организация систем видеонаблюдения","9427054","334","3142351"
"построение и обслуживание структурированных кабельных систем (СКС)","4549221","60","2274610"
"создание и поддержка интеллектуальных медиасистем","7227058","304","2409019"
"телефония","2218607","191","739535"
"создание виртуального офиса","8705718","192","4352859"
"организация резервного копирования","4272509","327","1424169"
"администрирование сетей и серверов","7388887","123","2462962"
"техническая поддержка рабочих станций и ИТ сервисов","4028066","109","2014033"
"веб-разработка","5389118","309","1796372"
"создание мобильных систем","5810590","313","2905295"
"создание и обслуживание систем контроля доступа к портам и устройствам","6222205","193","3111102"
"организацию антивирусной защиты","1994264","231","997132"
"решения касающиеся сетевой безопасности и отражения угроз","7039666","325","2346555"
"организация систем видеонаблюдения","337512","151","168756"
"построение и обслуживание структурированных кабельных систем (СКС)","7342083","285","3671041"
"создание и поддержка интеллектуальных медиасистем","3014258","121","1507129"
"телефония","7767366","155","2589122"
"создание виртуального офиса","8166732","358","2722244"
"организация резервного копирования","583661","179","291830"
"администрирование сетей и серверов","1114334","227","371444"
"техническая поддержка рабочих станций и ИТ сервисов","7683836","356","2561278"
"веб-разработка","1119395","127","559697"
"создание мобильных систем","7794072","109","3897036"
"создание и обслуживание систем контроля доступа к портам и устройствам","7853210","124","2617736"
"организацию антивирусной защиты","4787971","233","1595990"
"решения касающиеся сетевой безопасности и отражения угроз","7030698","360","2343566"
"организация систем видеонаблюдения","3148879","210","1049626"
"построение и обслуживание структурированных кабельных систем (СКС)","1141920","348","380640"
"создание и поддержка интеллектуальных медиасистем","302521","322","100840"
"телефония","4207229","88","2103614"
"создание виртуального офиса","2983894","338","994631"
"организация резервного копирования","8752306","95","4376153"
"администрирование сетей и серверов","691248","318","345624"
"техническая поддержка рабочих станций и ИТ сервисов","1983983","314","661327"
"веб-разработка","9667012","239","3222337"
"создание мобильных систем","8130723","279","2710241"
"создание и обслуживание систем контроля доступа к портам и устройствам","150415","155","75207"
"организацию антивирусной защиты","535395","48","178465"
"решения касающиеся сетевой безопасности и отражения угроз","9954766","110","4977383"
"организация систем видеонаблюдения","3807840","211","1269280"
"построение и обслуживание структурированных кабельных систем (СКС)","7715311","212","3857655"
"создание и поддержка интеллектуальных медиасистем","8669483","305","4334741"
"телефония","4806973","217","1602324"
"создание виртуального офиса","264026","18","88008"
"организация резервного копирования","9088518","308","4544259"
"администрирование сетей и серверов","5630138","138","1876712"
"техническая поддержка рабочих станций и ИТ сервисов","672417","290","336208"
"веб-разработка","6865424","96","3432712"
"создание мобильных систем","4287393","97","2143696"
"создание и обслуживание систем контроля доступа к портам и устройствам","2200680","185","733560"
"организацию антивирусной защиты","5095136","82","1698378"
"решения касающиеся сетевой безопасности и отражения угроз","292349","291","146174"
"организация систем видеонаблюдения","3743977","25","1871988"
"построение и обслуживание структурированных кабельных систем (СКС)","724418","198","241472"
"создание и поддержка интеллектуальных медиасистем","7813223","190","2604407"
"телефония","4897947","172","1632649"
"создание виртуального офиса","5185576","357","2592788"
"организация резервного копирования","9100010","347","4550005"
"администрирование сетей и серверов","1920257","283","960128"
"техническая поддержка рабочих станций и ИТ сервисов","9440627","361","3146875"
"веб-разработка","464358","175","232179"
"создание мобильных систем","2697586","326","899195"
"создание и обслуживание систем контроля доступа к портам и устройствам","1331141","79","665570"
"организацию антивирусной защиты","8976195","317","4488097"
"решения касающиеся сетевой безопасности и отражения угроз","8732204","240","4366102"
"организация систем видеонаблюдения","4763313","202","2381656"
"построение и обслуживание структурированных кабельных систем (СКС)","7455593","193","3727796"
"создание и поддержка интеллектуальных медиасистем","6740458","260","3370229"
"телефония","6629577","182","2209859"
"создание виртуального офиса","7554976","132","2518325"
"организация резервного копирования","3992405","311","1330801"
"администрирование сетей и серверов","2027891","123","1013945"
"техническая поддержка рабочих станций и ИТ сервисов","3069266","34","1534633"
"веб-разработка","6366388","305","2122129"
"создание мобильных систем","4887283","152","1629094"
"создание и обслуживание систем контроля доступа к портам и устройствам","4945883","100","1648627"
"организацию антивирусной защиты","5090148","15","2545074"
"решения касающиеся сетевой безопасности и отражения угроз","6351480","285","2117160"
"организация систем видеонаблюдения","6372642","141","3186321"
"построение и обслуживание структурированных кабельных систем (СКС)","8310464","220","2770154"
"создание и поддержка интеллектуальных медиасистем","1220422","118","610211"
"телефония","8456998","46","4228499"
"создание виртуального офиса","9784521","76","4892260"
"организация резервного копирования","8169865","222","2723288"
"администрирование сетей и серверов","4927370","225","2463685"
"техническая поддержка рабочих станций и ИТ сервисов","7379586","305","3689793"
"веб-разработка","6347112","237","3173556"
"создание мобильных систем","2773932","338","1386966"
"создание и обслуживание систем контроля доступа к портам и устройствам","9141906","322","3047302"
"организацию антивирусной защиты","7318002","229","3659001"
"решения касающиеся сетевой безопасности и отражения угроз","8902026","311","2967342"
"организация систем видеонаблюдения","7037760","257","3518880"
"построение и обслуживание структурированных кабельных систем (СКС)","3372175","33","1686087"
"создание и поддержка интеллектуальных медиасистем","8077822","255","4038911"
"телефония","3460952","40","1730476"
"создание виртуального офиса","546528","54","182176"
"организация резервного копирования","9167812","58","3055937"
"администрирование сетей и серверов","7113952","210","2371317"
"техническая поддержка рабочих станций и ИТ сервисов","5722279","210","2861139"
"веб-разработка","906679","283","302226"
"создание мобильных систем","1207785","64","402595"
"создание и обслуживание систем контроля доступа к портам и устройствам","1580968","142","790484"
"организацию антивирусной защиты","3199889","20","1599944"
"решения касающиеся сетевой безопасности и отражения угроз","9979278","89","3326426"
"организация систем видеонаблюдения","4588492","200","1529497"
"построение и обслуживание структурированных кабельных систем (СКС)","5221071","224","2610535"
"создание и поддержка интеллектуальных медиасистем","799489","355","266496"
"телефония","9516240","297","4758120"
"создание виртуального офиса","6902065","295","3451032"
"организация резервного копирования","3802806","298","1901403"
"администрирование сетей и серверов","1426920","105","475640"
"техническая поддержка рабочих станций и ИТ сервисов","2750423","273","1375211"
"веб-разработка","6228986","85","2076328"
"создание мобильных систем","4752059","181","1584019"
"создание и обслуживание систем контроля доступа к портам и устройствам","3869260","362","1289753"
"организацию антивирусной защиты","7040053","258","3520026"
"решения касающиеся сетевой безопасности и отражения угроз","3123202","314","1561601"
"организация систем видеонаблюдения","8392438","106","4196219"
"построение и обслуживание структурированных кабельных систем (СКС)","6512416","292","2170805"
"создание и поддержка интеллектуальных медиасистем","4272128","91","1424042"
"телефония","4514916","348","2257458"
"создание виртуального офиса","3297974","174","1648987"
"организация резервного копирования","6556335","177","2185445"
"администрирование сетей и серверов","275098","147","137549"
"техническая поддержка рабочих станций и ИТ сервисов","8063833","275","4031916"
"веб-разработка","1038131","29","519065"
"создание мобильных систем","8355442","294","2785147"
"создание и обслуживание систем контроля доступа к портам и устройствам","2703804","16","1351902"
"организацию антивирусной защиты","9204093","189","3068031"
"решения касающиеся сетевой безопасности и отражения угроз","7358672","145","3679336"
"организация систем видеонаблюдения","7791041","212","3895520"
"построение и обслуживание структурированных кабельных систем (СКС)","8314047","244","4157023"
"создание и поддержка интеллектуальных медиасистем","6358483","128","2119494"
"телефония","9422063","194","3140687"
"создание виртуального офиса","8335398","326","2778466"
"организация резервного копирования","7401799","183","3700899"
"администрирование сетей и серверов","1867999","124","933999"
"техническая поддержка рабочих станций и ИТ сервисов","4298128","253","2149064"
"веб-разработка","3056365","286","1528182"
"создание мобильных систем","9283469","146","3094489"
"создание и обслуживание систем контроля доступа к портам и устройствам","1030353","265","515176"
"организацию антивирусной защиты","7076744","342","3538372"
"решения касающиеся сетевой безопасности и отражения угроз","6302904","284","2100968"
"организация систем видеонаблюдения","2534471","71","844823"
"построение и обслуживание структурированных кабельных систем (СКС)","8284674","28","4142337"
"создание и поддержка интеллектуальных медиасистем","3751674","145","1875837"
"телефония","3401774","239","1700887"
"создание виртуального офиса","532758","248","266379"
"организация резервного копирования","3775606","272","1258535"
"администрирование сетей и серверов","4288020","341","2144010"
"техническая поддержка рабочих станций и ИТ сервисов","8420051","142","2806683"
"веб-разработка","5487211","285","1829070"
"создание мобильных систем","7755554","312","2585184"
"создание и обслуживание систем контроля доступа к портам и устройствам","6963785","171","2321261"
"организацию антивирусной защиты","410963","29","136987"
"решения касающиеся сетевой безопасности и отражения угроз","3489238","189","1163079"
"организация систем видеонаблюдения","9076359","255","4538179"
"построение и обслуживание структурированных кабельных систем (СКС)","9843846","280","4921923"
"создание и поддержка интеллектуальных медиасистем","9201752","14","4600876"
"телефония","7767021","351","2589007"
"создание виртуального офиса","7119644","188","3559822"
"организация резервного копирования","3283571","126","1094523"
"администрирование сетей и серверов","5384124","275","2692062"
"техническая поддержка рабочих станций и ИТ сервисов","4675670","286","2337835"
